"","Soil.ID","K_fix","K_mg_kg","K_cmol","Ca_cmol","Mg_cmol","Na_cmol","CEC_cmol","clay_pct","silt_pct","sand_pct","x","y"
"77","Pit 11",-142.815714285714,151.571428571429,0.377142857142857,3.23857142857143,2.79,0.0571428571428571,9.5,30.3371428571429,22.0144285714286,47.6388571428571,-121.147179,38.284831
"78","Pit 13",-244.073684210526,273.789473684211,0.707894736842105,11.5631578947368,5.45789473684211,0.1,17.7368421052632,15.5305263157895,37.5171052631579,46.9523684210526,-121.040093,38.188486
"79","Pit 14",75.4528571428571,118.185714285714,0.32,15.1057142857143,9,0.458571428571429,22.4871428571429,41.0971428571429,43.8851428571429,15.0177142857143,-121.045798,38.194459
"80","Pit 15",84.95,64.7142857142857,0.2,9.08142857142857,6.07714285714286,0.545714285714286,14.8842857142857,23.1594285714286,40.6508571428571,36.1897142857143,-121.046297,38.198403
"81","Pit 16",-251.957142857143,268.857142857143,0.7,8.05714285714286,4.58571428571429,0.0285714285714286,12.4428571428571,15.37,7.82285714285714,76.8071428571429,-121.039526,38.187802
"82","Pit 17",-83.79,144.415714285714,0.385714285714286,3.36571428571429,1.32571428571429,0.0328571428571429,5.49714285714286,22.615231612,23.5905230871429,53.7942453008571,-121.208177,38.208244
"83","Pit 18",121.082857142857,70.7157142857143,0.178571428571429,6.29571428571429,4.47571428571429,0.598571428571429,10.74,31.546221011,35.809664692,32.6441142942857,-121.208187,38.210885
"84","Pit 19",49.9657142857143,55.1128571428571,0.124285714285714,3.78285714285714,2.11857142857143,0.148571428571429,5.86571428571429,26.145692513,18.5452270168571,55.309080465,-121.217046,38.210171
"85","Pit 2",441.575714285714,64.4714285714286,0.157142857142857,9.56714285714286,4.79857142857143,0.287142857142857,10.6171428571429,21.0394285714286,23.0488571428571,55.9148571428571,-121.228843,38.082232
"86","Pit 20",121.858571428571,139.191428571429,0.368571428571429,4.60142857142857,2.57285714285714,0.23,6.74428571428571,27.6173542278571,19.878722917,52.5039228544286,-121.185039,38.212177
"87","Pit 21",98.2528571428571,43.0814285714286,0.1,4.87142857142857,1.86285714285714,0.161428571428571,6.03,23.2678258671429,26.0920528397143,50.6401212931429,-121.189501,38.212846
"88","Pit 3",364.788571428571,142.542857142857,0.328571428571429,18.46,8.92857142857143,0.357142857142857,22.16,36.8945714285714,38.2917142857143,24.808,-121.233278,38.078469
"89","Pit 4",-150.241428571429,133.671428571429,0.341428571428571,4.43857142857143,1.02142857142857,0.00857142857142857,5.01571428571429,9.29371428571429,31.9692857142857,58.7348571428571,-121.227602,38.09209
"90","Pit 5",212.7,77,0.2,4.1,1.1,0,4.2,8.53,25.04,66.44,-121.224462,38.093187
"91","RM R",355.628571428571,41.1857142857143,0.1,58.5,27.9,0.957142857142857,NA,15.0403672742857,10.6228362868571,73.7907692185714,-121.086038,38.144232
"92","RM S",156.842857142857,49.3428571428571,0.1,49.5571428571429,22.7142857142857,0.971428571428571,NA,26.5016652771429,19.1659994971429,53.5337525142857,-121.086936,38.14428
"93","RM T",49.2,48.2,0.1,37,20.2,0.5,NA,26.13768961,30.31730715,42.86508032,-121.087451,38.144318
"94","RM U",329.542857142857,33.3,0.0714285714285714,69.1571428571429,44.5142857142857,1.88571428571429,NA,16.7828728071429,12.224308086,70.0693217885714,-121.088949,38.144388
"95","RM V",74.9571428571429,34.3571428571429,0.1,48.7857142857143,30.2142857142857,1.27142857142857,NA,17.2739279242857,23.3339811228571,58.8389454285714,-121.090166,38.144374
"96","RM W",-44.7,65,0.2,33.5,11.6,0.3,NA,14.78373789,32.57723292,52.4185275,-121.09077,38.144374
"97","RM X",25.6428571428571,35.4857142857143,0.1,48.6428571428571,28.1,1.3,NA,16.9075497848571,26.4356365571429,56.1489083128571,-121.092164,38.144361
"98","VSN A",58.7666666666667,83.3,0.2,12.2666666666667,10.1666666666667,0.433333333333333,21.8,43.7236096333333,23.4297124466667,32.84667792,-121.2365456,38.47343867
"99","VSN B",259.628571428571,72.9857142857143,0.2,19.7571428571429,22.1,0.942857142857143,38.1857142857143,37.4221542142857,20.32364959,42.2541961985714,-121.2353912,38.47282896
"100","VSN C",507.716666666667,41.8,0.1,19.0666666666667,16.75,0.7,28.95,9.65002916216667,19.39424345,70.955727385,-121.2344109,38.47230025
"101","VSS A",226.638571428571,48.1228571428571,0.127142857142857,10.3757142857143,8.74285714285714,0.157142857142857,16.7257142857143,28.2155937705714,25.1808758084286,46.603530423,-121.2265103,38.16542565
"102","VSS B",265.042857142857,46.2571428571429,0.128571428571429,9.67142857142857,7.42857142857143,0.157142857142857,15.0142857142857,36.5311579014286,19.4811784371429,43.9876636671429,-121.224452,38.46781258
"103","VSS C",271.86,43.08,0.14,9.6,6.44,0.08,13.98,22.592864982,15.696895974,61.710239044,-121.2249049,38.4672876
"104","VSS D",295.4,54.6333333333333,0.133333333333333,15.2666666666667,10.6666666666667,0.166666666666667,23.2,34.5935276,19.42058182,45.9858905833333,-121.2253878,38.46673318
"105","VSS E",396.928571428571,57.7428571428571,0.128571428571429,11.4714285714286,8.27142857142857,0.171428571428571,16.8,31.5076838385714,20.4157577585714,48.0765584057143,-121.2246454,38.46415873
"106","VSS F",233.385714285714,63.9,0.157142857142857,10.9285714285714,9.25714285714286,0.285714285714286,17.7714285714286,36.5291831214286,23.3701042442857,40.1007126371429,-121.2241276,38.46476782
"107","VSS G",358.12,72.4,0.2,10.7,10.58,0.2,18.2,23.032615252,28.847160726,48.120224024,-121.2233045,38.46521338
"108","VSS H",312.2,85.4571428571429,0.2,10.1142857142857,7.44285714285714,0.142857142857143,13.8428571428571,30.24515926,9.97104261457143,59.7837981228571,-121.2226806,38.46644894
